scenario,block_idx,n_seeds_in_block,block_mean_RE_delay_pct,block_std_RE_delay_pct
"S3 (degraded backhaul, kappa=1.0)",97,10,5.0484315940234135,0.5188731813778484
"S3 (degraded backhaul, kappa=1.0)",98,10,5.213241221348207,0.628373988018556
"S3 (degraded backhaul, kappa=1.0)",99,10,4.701047439936332,0.6678081073792255
"S4 (disaster surge, kappa=1.6)",0,10,3.6896687885272605,0.7073146436321287
"S4 (disaster surge, kappa=1.6)",1,10,3.471898118397352,0.9530809145422185
"S4 (disaster surge, kappa=1.6)",2,10,3.6116767465642097,1.243258212914322
"S4 (disaster surge, kappa=1.6)",3,10,3.784831217267411,0.8790428898250205
"S4 (disaster surge, kappa=1.6)",4,10,3.833020597216567,0.7674046918164604
"S4 (disaster surge, kappa=1.6)",5,10,4.0282229991335985,0.5456686735346861
"S4 (disaster surge, kappa=1.6)",6,10,3.706181062307473,1.159092223948272
"S4 (disaster surge, kappa=1.6)",7,10,4.041762653369368,1.0143020871403403
"S4 (disaster surge, kappa=1.6)",8,10,3.5170280578342195,0.5892926274643466
"S4 (disaster surge, kappa=1.6)",9,10,4.35491977597947,1.0166214624675953
"S4 (disaster surge, kappa=1.6)",10,10,3.6832860310806614,0.6352239310312356
"S4 (disaster surge, kappa=1.6)",11,10,3.1280621620110507,1.1173483657299499
"S4 (disaster surge, kappa=1.6)",12,10,4.059429460042722,0.6907121318709497
"S4 (disaster surge, kappa=1.6)",13,10,3.621859883059635,0.6077477099110745
"S4 (disaster surge, kappa=1.6)",14,10,3.9064694132679834,0.8871385631783055
"S4 (disaster surge, kappa=1.6)",15,10,4.2258950668380475,0.860901512449911
"S4 (disaster surge, kappa=1.6)",16,10,3.8545033577852266,0.9534935806913112
"S4 (disaster surge, kappa=1.6)",17,10,4.08240741446939,0.5905959540632989
"S4 (disaster surge, kappa=1.6)",18,10,3.963587598517998,0.7730615269948218
"S4 (disaster surge, kappa=1.6)",19,10,3.8519595486840594,0.7494090847435277
