kappa,policy,feasible,alpha,B_UH_MHz,a1,a2,a3,T1_E2E_s,T2_E2E_s,T3_E2E_s,rho_U,rho_H,CSPR,GDI,AGDI,PAoI1_s,PAoI2_s,PAoI3_s,AoI_avg1_sim_s,n_seeds_valid
8.5,P3,True,0.35,1.2,1.0,1.0,0.0,0.19562019069960587,0.4693155337470025,1.0303473836652282,0.6393459478975663,0.6382171940125538,1.0,0.6410691950076673,2.2906368581392984,0.4897378377584294,0.6653939651195515,inf,0.47915196851618036,1000
9.0,P1,False,,,,,,,,,,,,,,,,,,0
9.0,P2,False,,,,,,,,,,,,,,,,,,0
9.0,P3,True,0.35,1.2,1.0,1.0,0.0,0.20281847856170038,0.5242154019109639,1.2390720346563207,0.6769545330680113,0.6757593818956453,1.0,0.6020819238543214,2.154185217691182,0.48059625633947817,0.7094005870961492,inf,0.46934607661452277,1000
9.5,P1,False,,,,,,,,,,,,,,,,,,0
9.5,P2,False,,,,,,,,,,,,,,,,,,0
9.5,P3,True,0.35,1.2,1.0,1.0,0.0,0.2101813642557679,0.5941071473206826,1.5420459886288325,0.7145631182384564,0.7133015697787367,1.0,0.5544747756860035,1.9910123874755177,0.47333925899261,0.7695457438119107,inf,0.46142347698824027,1000
10.0,P1,False,,,,,,,,,,,,,,,,,,0
10.0,P2,False,,,,,,,,,,,,,,,,,,0
10.0,P3,True,0.35,1.2,1.0,1.0,0.0,0.2177145586839759,0.6858116614808337,2.0025918964659413,0.7521717034089015,0.7508437576618281,1.0,0.49440378338640695,1.7953848922715894,0.46771455868397593,0.8524783281475004,inf,0.455167913611966,1000
10.1,P1,False,,,,,,,,,,,,,,,,,,0
10.1,P2,False,,,,,,,,,,,,,,,,,,0
10.1,P3,True,0.35,1.2,1.0,1.0,0.0,0.21924215581955359,0.7076697828952148,2.122893070610174,0.7596934204429905,0.7583521952384464,1.0,0.48038715945215904,1.7518112750284989,0.4667669082948011,0.8726862845453798,inf,0.4540641090655529,1000
10.2,P1,False,,,,,,,,,,,,,,,,,,0
10.2,P2,False,,,,,,,,,,,,,,,,,,0
10.2,P3,True,0.35,1.2,1.0,1.0,0.0,0.22077685267941924,0.7309648509472654,2.255557770329898,0.7672151374770795,0.7658606328150646,1.0,0.4655540978658018,1.7066458099687898,0.4658748918951055,0.8943635437577229,inf,0.45311657893900964,1000
10.3,P1,False,,,,,,,,,,,,,,,,,,0
10.3,P2,False,,,,,,,,,,,,,,,,,,0
10.3,P3,True,0.35,1.2,1.0,1.0,0.0,0.2223186988743808,0.7558403971792717,2.4022953892790655,0.7747368545111686,0.773369070391683,1.0,0.4498237896965445,1.659852361328608,0.4650371454763226,0.9176526949138994,inf,0.4521044826482484,1000
10.4,P1,False,,,,,,,,,,,,,,,,,,0
10.4,P2,False,,,,,,,,,,,,,,,,,,0
10.4,P3,True,0.35,1.2,1.0,1.0,0.0,0.22386774447854713,0.7824596984993633,2.565118230006332,0.7822585715452576,0.7808775079683012,1.0,0.43310431643834735,1.6114055847305362,0.4642523598631625,0.9427161087557735,inf,0.45121999743854546,1000
10.5,P1,False,,,,,,,,,,,,,,,,,,0
10.5,P2,False,,,,,,,,,,,,,,,,,,0
10.5,P3,True,0.35,1.2,1.0,0.75,0.0,0.19724855995235707,0.47569326127852235,1.0194345876237831,0.641696484470719,0.640563580755247,1.0,0.5900336723860553,2.1550215261152883,0.43534379804759515,0.687333472918734,inf,0.42179950020648094,1000
11.0,P1,False,,,,,,,,,,,,,,,,,,0
11.0,P2,False,,,,,,,,,,,,,,,,,,0
11.0,P3,True,0.35,1.2,1.0,0.75,0.0,0.20344944032906462,0.5213269827471225,1.1812715876978275,0.6722534599217057,0.6710666084102588,1.0,0.5638005583653574,2.0623232851970705,0.4307221676017919,0.7233471847673245,inf,0.4165689688330713,1000
